HeapSort runing time
1690000 - 0.428
1695000 - 0.434
1700000 - 0.442
1705000 - 0.453
1710000 - 0.446
1715000 - 0.437
1720000 - 0.458
1725000 - 0.457
1730000 - 0.443
1735000 - 0.463
1740000 - 0.456
1745000 - 0.441
1750000 - 0.46
1755000 - 0.45
1760000 - 0.457
1765000 - 0.457
1770000 - 0.448
1775000 - 0.476
1780000 - 0.478
1785000 - 0.473
1790000 - 0.472
1795000 - 0.47
1800000 - 0.477
1805000 - 0.478
1810000 - 0.489
1815000 - 0.482
1820000 - 0.482
1825000 - 0.478
1830000 - 0.471
1835000 - 0.496
1840000 - 0.481
1845000 - 0.492
1850000 - 0.472
1855000 - 0.507
1860000 - 0.5
1865000 - 0.495
1870000 - 0.497
1875000 - 0.509
1880000 - 0.498
1885000 - 0.504
1890000 - 0.496
1895000 - 0.501
1900000 - 0.518
1905000 - 0.499
1910000 - 0.497
1915000 - 0.499
1920000 - 0.512
1925000 - 0.515
1930000 - 0.516
1935000 - 0.517
1940000 - 0.51
1945000 - 0.51
1950000 - 0.52
1955000 - 0.545
1960000 - 0.517
1965000 - 0.546
1970000 - 0.519
1975000 - 0.543
1980000 - 0.529
1985000 - 0.531
1990000 - 0.519
1995000 - 0.543
2000000 - 0.545
