RadixSort runing time
1690000 - 0.244
1695000 - 0.25
1700000 - 0.249
1705000 - 0.246
1710000 - 0.267
1715000 - 0.261
1720000 - 0.255
1725000 - 0.257
1730000 - 0.249
1735000 - 0.253
1740000 - 0.262
1745000 - 0.248
1750000 - 0.271
1755000 - 0.272
1760000 - 0.259
1765000 - 0.266
1770000 - 0.272
1775000 - 0.263
1780000 - 0.261
1785000 - 0.251
1790000 - 0.262
1795000 - 0.249
1800000 - 0.27
1805000 - 0.259
1810000 - 0.261
1815000 - 0.267
1820000 - 0.277
1825000 - 0.269
1830000 - 0.268
1835000 - 0.285
1840000 - 0.289
1845000 - 0.276
1850000 - 0.261
1855000 - 0.259
1860000 - 0.277
1865000 - 0.279
1870000 - 0.289
1875000 - 0.283
1880000 - 0.283
1885000 - 0.277
1890000 - 0.275
1895000 - 0.284
1900000 - 0.294
1905000 - 0.27
1910000 - 0.278
1915000 - 0.284
1920000 - 0.278
1925000 - 0.297
1930000 - 0.279
1935000 - 0.299
1940000 - 0.281
1945000 - 0.291
1950000 - 0.288
1955000 - 0.286
1960000 - 0.297
1965000 - 0.275
1970000 - 0.309
1975000 - 0.295
1980000 - 0.302
1985000 - 0.297
1990000 - 0.308
1995000 - 0.307
2000000 - 0.3
